501,in,9
502,in,8
503,in,10
504,in,11
505,in,12
506,in,9
507,in,8
508,in,10
509,in,11
505,in,12
510,in,9
511,in,8
512,in,10
513,in,11
514,in,12
515,in,9
516,in,8
517,in,10
518,in,11
519,in,12
520,in,9
521,in,10
522,in,11
523,in,12
524,in,9
525,in,10
526,in,11
527,in,12
528,in,9
529,in,10
530,in,11
531,in,12
532,in,9
533,in,10
534,in,11
535,in,12
536,in,9
537,in,10
538,in,11
539,in,12
540,in,9
541,in,10
542,in,11
543,in,12
544,in,9
544,in,10
545,in,11
546,in,12
547,in,9
548,in,10
549,in,11
550,in,12
551,in,9
552,in,10
553,in,11
554,in,12
555,in,9
556,in,10
557,in,11
558,in,12
559,in,9
560,in,10
501,out,18
502,out,17
503,out,19
504,out,20
505,out,21
506,out,18
507,out,17
508,out,19
509,out,20
505,out,21
510,out,18
511,out,17
512,out,19
513,out,20
514,out,21
515,out,18
516,out,17
517,out,19
518,out,20
519,out,21
520,out,18
521,out,19
522,out,20
523,out,21
524,out,18
525,out,19
526,out,20
527,out,21
528,out,18
529,out,19
530,out,20
531,out,21
532,out,18
533,out,19
534,out,20
535,out,21
536,out,18
537,out,19
538,out,20
539,out,21
540,out,18
541,out,19
542,out,20
543,out,21
544,out,18
544,out,19
545,out,20
546,out,21
547,out,18
548,out,19
549,out,20
550,out,21
551,out,18
552,out,19
553,out,20
554,out,21
555,out,18
556,out,19
557,out,20
558,out,21
559,out,18
560,out,19
